timestamp,imu_data
1741258558.5769956,GX:-3.06,GZ:-21.02,ACC:11.43
1741258558.6096332,GX:-10.56,GZ:-11.98,ACC:10.46
1741258558.6383452,GX:4.66,GZ:-7.88,ACC:12.85
1741258558.6671407,GX:11.50,GZ:-4.41,ACC:13.84
1741258558.6999292,GX:-8.11,GZ:-0.49,ACC:11.01
1741258558.72872,GX:-7.05,GZ:-2.97,ACC:9.69
1741258558.7572386,GX:2.68,GZ:-3.89,ACC:14.23
1741258558.7859526,GX:12.54,GZ:-3.61,ACC:14.10
1741258558.8185987,GX:1.69,GZ:-5.11,ACC:13.42
1741258558.847321,GX:-7.30,GZ:2.61,ACC:10.27
1741258558.8759484,GX:-5.88,GZ:1.80,ACC:9.31
1741258558.9044898,GX:-0.06,GZ:1.05,ACC:11.17
1741258558.9290712,GX:9.82,GZ:0.73,ACC:16.28
1741258558.9617584,GX:-6.88,GZ:4.54,ACC:13.46
1741258558.9904597,GX:-12.75,GZ:6.24,ACC:10.42
1741258559.0193038,GX:-9.73,GZ:-1.10,ACC:9.49
1741258559.0477982,GX:2.53,GZ:2.85,ACC:11.82
1741258559.0764668,GX:1.45,GZ:1.53,ACC:11.83
1741258559.1052015,GX:-2.45,GZ:5.49,ACC:10.58
1741258559.1338744,GX:-2.43,GZ:8.52,ACC:10.08
1741258559.1625779,GX:0.48,GZ:6.50,ACC:10.68
1741258559.1912148,GX:15.09,GZ:8.26,ACC:11.42
1741258559.2198672,GX:12.27,GZ:1.81,ACC:9.85
1741258559.2485027,GX:-1.37,GZ:8.37,ACC:9.79
1741258559.2771788,GX:4.24,GZ:10.66,ACC:8.41
1741258559.3018146,GX:13.27,GZ:9.15,ACC:8.98
1741258559.334532,GX:21.47,GZ:-1.81,ACC:8.08
1741258559.359195,GX:15.60,GZ:1.50,ACC:9.83
1741258559.387925,GX:0.56,GZ:0.73,ACC:8.55
1741258559.4164457,GX:-2.59,GZ:-7.32,ACC:7.25
1741258559.4450853,GX:8.77,GZ:-7.26,ACC:9.08
1741258559.4738152,GX:22.82,GZ:-5.14,ACC:13.46
1741258559.5025377,GX:8.46,GZ:-7.81,ACC:13.32
1741258559.5352395,GX:-8.93,GZ:-2.80,ACC:13.73
1741258559.5639331,GX:-8.82,GZ:-7.32,ACC:10.89
1741258559.592652,GX:1.40,GZ:-2.71,ACC:15.23
1741258559.6212192,GX:6.79,GZ:-3.73,ACC:15.40
1741258559.6539788,GX:-14.15,GZ:0.20,ACC:16.59
1741258559.6826558,GX:-15.92,GZ:4.39,ACC:15.36
1741258559.715452,GX:-9.76,GZ:-0.49,ACC:14.53
1741258559.7441146,GX:-6.05,GZ:5.43,ACC:17.38
1741258559.7729247,GX:-17.11,GZ:6.72,ACC:17.47
1741258559.8015501,GX:-19.82,GZ:8.42,ACC:13.32
1741258559.8342927,GX:-11.26,GZ:4.58,ACC:6.18
1741258559.8628669,GX:-2.68,GZ:4.23,ACC:10.27
1741258559.8915896,GX:1.16,GZ:3.60,ACC:14.02
1741258559.9205208,GX:-13.36,GZ:1.15,ACC:13.70
1741258559.948847,GX:-13.40,GZ:5.32,ACC:11.86
1741258559.977521,GX:-3.89,GZ:1.00,ACC:10.02
1741258560.006178,GX:3.31,GZ:4.11,ACC:11.89
1741258560.0350382,GX:4.25,GZ:5.66,ACC:10.41
1741258560.0635529,GX:-4.69,GZ:1.85,ACC:11.33
1741258560.0923018,GX:-8.93,GZ:6.09,ACC:11.69
1741258560.121095,GX:0.13,GZ:0.20,ACC:8.70
1741258560.1497092,GX:13.99,GZ:-6.46,ACC:13.24
1741258560.178256,GX:3.01,GZ:-4.34,ACC:13.89
1741258560.2110264,GX:-10.58,GZ:-3.42,ACC:14.45
1741258560.239721,GX:-11.83,GZ:-6.16,ACC:8.62
1741258560.2683606,GX:1.11,GZ:1.34,ACC:13.97
1741258560.2969747,GX:9.91,GZ:-0.07,ACC:13.30
1741258560.3298624,GX:-11.69,GZ:-3.70,ACC:13.25
1741258560.3626416,GX:-12.58,GZ:-0.34,ACC:11.05
1741258560.3913226,GX:-2.05,GZ:-6.33,ACC:10.21
1741258560.4199436,GX:9.60,GZ:-1.36,ACC:15.49
1741258560.4485562,GX:10.69,GZ:-1.77,ACC:15.90
1741258560.4813879,GX:-1.30,GZ:3.32,ACC:14.24
1741258560.510103,GX:-5.56,GZ:-3.40,ACC:13.12
1741258560.5387807,GX:3.68,GZ:-3.41,ACC:14.88
1741258560.567449,GX:14.06,GZ:-0.94,ACC:16.80
1741258560.6001174,GX:-1.26,GZ:0.71,ACC:17.18
1741258560.6288083,GX:-9.37,GZ:3.83,ACC:16.52
1741258560.6574867,GX:-1.98,GZ:1.59,ACC:12.57
1741258560.6861484,GX:10.27,GZ:7.27,ACC:14.84
1741258560.7147565,GX:8.98,GZ:5.44,ACC:15.28
1741258560.7436795,GX:-15.94,GZ:1.36,ACC:17.62
1741258560.7723353,GX:-21.02,GZ:3.82,ACC:14.62
1741258560.8049784,GX:-1.64,GZ:2.47,ACC:13.13
1741258560.8294907,GX:4.36,GZ:4.27,ACC:13.83
1741258560.8623686,GX:-6.17,GZ:1.21,ACC:13.96
1741258560.8909194,GX:-7.04,GZ:3.18,ACC:12.33
1741258560.919774,GX:-4.80,GZ:-1.60,ACC:11.30
1741258560.948259,GX:4.47,GZ:-0.11,ACC:14.09
1741258560.9769862,GX:7.98,GZ:-1.07,ACC:16.95
1741258561.009692,GX:-6.85,GZ:-0.22,ACC:18.49
1741258561.038556,GX:-8.66,GZ:0.02,ACC:14.88
1741258561.0671206,GX:-4.99,GZ:-4.44,ACC:15.32
1741258561.0961707,GX:4.85,GZ:1.91,ACC:15.94
1741258561.1243968,GX:4.19,GZ:2.50,ACC:13.49
1741258561.1530623,GX:-12.06,GZ:1.07,ACC:16.68
1741258561.1817,GX:-8.24,GZ:3.47,ACC:15.39
1741258561.2104065,GX:0.05,GZ:-0.15,ACC:16.71
1741258561.2432315,GX:0.84,GZ:-0.93,ACC:17.27
1741258561.2719493,GX:-10.59,GZ:-0.41,ACC:18.75
1741258561.300979,GX:-9.93,GZ:1.27,ACC:15.22
1741258561.329265,GX:-5.56,GZ:2.24,ACC:10.79
1741258561.3578753,GX:1.47,GZ:1.61,ACC:17.09
1741258561.3866432,GX:-4.33,GZ:4.41,ACC:17.38
1741258561.4194372,GX:-12.83,GZ:1.58,ACC:18.75
1741258561.4481149,GX:-2.39,GZ:8.73,ACC:14.14
1741258561.476694,GX:-6.20,GZ:0.73,ACC:13.39
1741258561.5053253,GX:3.82,GZ:3.41,ACC:15.64
1741258561.5339904,GX:6.57,GZ:5.63,ACC:14.03
1741258561.5627038,GX:-7.61,GZ:0.07,ACC:10.00
1741258561.5914233,GX:-8.67,GZ:1.30,ACC:12.66
1741258561.620111,GX:0.29,GZ:-0.01,ACC:13.49
1741258561.6488347,GX:12.18,GZ:-0.27,ACC:15.57
1741258561.6815383,GX:1.79,GZ:-0.98,ACC:14.64
1741258561.7101617,GX:-8.08,GZ:3.40,ACC:14.46
1741258561.7389004,GX:-8.62,GZ:0.09,ACC:11.64
1741258561.7675972,GX:1.27,GZ:-0.37,ACC:16.33
1741258561.79633,GX:1.48,GZ:2.50,ACC:18.24
1741258561.825044,GX:-10.48,GZ:-1.39,ACC:14.62
1741258561.8576596,GX:-11.70,GZ:3.15,ACC:13.76
1741258561.8861485,GX:-5.29,GZ:4.47,ACC:15.54
1741258561.9148912,GX:-0.05,GZ:2.38,ACC:17.22
1741258561.9437377,GX:-4.34,GZ:6.13,ACC:14.09
1741258561.9723914,GX:-12.82,GZ:6.53,ACC:12.80
1741258562.0051079,GX:-13.00,GZ:10.03,ACC:12.65
1741258562.0336986,GX:-7.08,GZ:5.76,ACC:13.46
1741258562.0623364,GX:0.58,GZ:7.44,ACC:14.98
1741258562.0910656,GX:-6.43,GZ:-0.74,ACC:12.83
1741258562.1238272,GX:-12.11,GZ:2.88,ACC:12.10
1741258562.152514,GX:-5.08,GZ:5.75,ACC:10.60
1741258562.1811516,GX:0.27,GZ:1.30,ACC:10.90
1741258562.2097678,GX:-5.27,GZ:1.65,ACC:13.83
1741258562.2385821,GX:-16.05,GZ:1.62,ACC:14.09
1741258562.2713208,GX:-10.74,GZ:6.53,ACC:12.22
1741258562.2999113,GX:-7.71,GZ:3.05,ACC:11.45
1741258562.3287141,GX:-9.19,GZ:-3.06,ACC:14.63
1741258562.3573835,GX:-19.78,GZ:5.72,ACC:14.40
1741258562.390128,GX:-2.82,GZ:18.62,ACC:9.61
1741258562.4147203,GX:-9.40,GZ:8.24,ACC:9.28
1741258562.4474587,GX:-16.34,GZ:17.82,ACC:12.37
1741258562.47618,GX:-0.35,GZ:17.43,ACC:10.27
1741258562.5089645,GX:-19.27,GZ:4.08,ACC:8.99
1741258562.5375965,GX:-9.05,GZ:14.53,ACC:6.48
1741258562.5622106,GX:0.05,GZ:5.94,ACC:5.84
1741258562.5908911,GX:-0.78,GZ:-0.57,ACC:7.80
1741258562.619677,GX:-6.65,GZ:0.98,ACC:9.45
1741258562.6481638,GX:-6.34,GZ:6.51,ACC:7.02
1741258562.676761,GX:0.56,GZ:5.66,ACC:5.49
1741258562.7013345,GX:5.18,GZ:3.44,ACC:4.62
1741258562.7299554,GX:6.58,GZ:2.72,ACC:7.32
1741258562.7586417,GX:4.40,GZ:7.10,ACC:9.99
1741258562.7833073,GX:-7.10,GZ:3.64,ACC:5.84
1741258562.8119345,GX:-9.41,GZ:0.05,ACC:5.28
1741258562.840612,GX:1.76,GZ:2.56,ACC:5.42
1741258562.8692229,GX:8.44,GZ:-0.40,ACC:4.73
1741258562.8978157,GX:2.13,GZ:-3.28,ACC:5.66
1741258562.9225845,GX:3.80,GZ:2.05,ACC:4.82
1741258562.9511933,GX:1.74,GZ:0.12,ACC:3.43
1741258562.979862,GX:-0.39,GZ:-2.85,ACC:1.66
1741258563.0084572,GX:8.89,GZ:3.00,ACC:5.56
1741258563.0330243,GX:1.76,GZ:0.70,ACC:6.58
1741258563.0618336,GX:-4.02,GZ:5.66,ACC:4.61
1741258563.0904422,GX:4.50,GZ:10.13,ACC:4.97
1741258563.1150188,GX:8.92,GZ:0.60,ACC:3.23
1741258563.1437871,GX:9.59,GZ:-1.79,ACC:5.89
1741258563.172379,GX:-0.66,GZ:-2.53,ACC:5.68
1741258563.2051072,GX:-7.31,GZ:-12.81,ACC:5.10
1741258563.229694,GX:3.08,GZ:0.73,ACC:7.56
1741258563.2583451,GX:3.50,GZ:0.21,ACC:6.52
1741258563.286976,GX:-0.10,GZ:-6.59,ACC:9.34
1741258563.3157692,GX:-9.21,GZ:-3.13,ACC:7.07
1741258563.3484168,GX:-11.26,GZ:-7.72,ACC:6.76
1741258563.3730934,GX:-1.69,GZ:5.35,ACC:9.03
1741258563.4018407,GX:-0.81,GZ:5.70,ACC:8.51
1741258563.4304354,GX:-8.02,GZ:0.45,ACC:6.65
1741258563.4591775,GX:-16.08,GZ:3.51,ACC:7.81
1741258563.487871,GX:-10.44,GZ:3.96,ACC:4.18
1741258563.5204713,GX:-17.73,GZ:4.08,ACC:3.64
1741258563.5491962,GX:-21.18,GZ:8.15,ACC:7.84
1741258563.5777206,GX:-8.15,GZ:4.04,ACC:6.74
1741258563.606379,GX:-16.28,GZ:4.68,ACC:7.74
1741258563.635193,GX:-24.05,GZ:14.55,ACC:6.81
1741258563.6638823,GX:-16.36,GZ:13.25,ACC:5.90
1741258563.6965857,GX:-12.32,GZ:17.27,ACC:2.25
1741258563.7252882,GX:-22.39,GZ:11.30,ACC:3.88
1741258563.7539608,GX:-14.88,GZ:19.38,ACC:2.98
1741258563.78665,GX:-10.16,GZ:19.99,ACC:0.32
1741258563.8153927,GX:-14.45,GZ:11.47,ACC:-1.82
1741258563.8441195,GX:-8.33,GZ:4.65,ACC:1.67
1741258563.8768613,GX:-16.33,GZ:13.47,ACC:1.17
1741258563.9056807,GX:-15.56,GZ:1.63,ACC:-2.30
1741258563.9341128,GX:0.36,GZ:7.70,ACC:-2.02
