x,y,z
-1750.3493624015975,829.0221179439787,0.0
-1743.4677454339242,775.102716181249,0.0
-1737.8913206169034,724.8605091494748,0.0
-1726.975663970315,673.7537521634215,0.0
-1714.5983368061216,625.1220228256896,0.0
-1722.5477765110304,583.6786103129919,0.0
-1466.0150643205923,418.2105703889962,0.0
-1488.5747467892152,389.73938179432633,0.0
-1515.0634975182547,358.9311890707656,0.0
-1544.779383765866,330.5551663368023,0.0
-1573.2300909070686,298.2425918016005,0.0
-1602.2209596972325,268.11983572067084,0.0
-1631.449922044884,234.732218410132,0.0
-1657.992143905122,199.90510435928775,0.0
-1676.8610766354238,162.84806466485037,0.0
-2239.5333804305255,-31.149645863502897,-0.0
-2230.4424227387813,-83.37025157185813,-0.0
-2220.461219149523,-133.9859106511318,-0.0
-2224.3342015750036,-184.8279191672402,-0.0
-2221.0729073996085,-235.28151226870824,-0.0
-2208.9024364139436,-285.29386412003834,-0.0
-2203.609680767542,-335.4778306051987,-0.0
-2202.5932947787246,-386.51887443668426,-0.0
-2190.717019149097,-437.62420181074964,-0.0
-2184.0218016951176,-488.5619405156454,-0.0
-4698.413480260554,-1479.9955298938935,-0.0
-4714.8382597207365,-1603.3403209155351,-0.0
-4701.997809028232,-1720.1052777064872,-0.0
-4677.191672402552,-1833.5599586891665,-0.0
-4671.5543210589685,-1955.9500186342386,-0.0
-2133.8578339358332,-1024.950392482814,-0.0
-2131.360889662705,-1085.250579597266,-0.0
-2127.47971131214,-1143.8838787023851,-0.0
-2123.5439314758987,-1206.8004893485436,-0.0
-2122.4168218995383,-1269.7686390117944,-0.0
-2108.9132078204448,-1329.0175485600191,-0.0
-2099.72449996513,-1389.7773290157625,-0.0
-2105.9169704120627,-1463.480086550712,-0.0
-2106.1782660021718,-1536.379546798279,-0.0
-2094.93476719287,-1601.155483926079,-0.0
-2080.9921217137867,-1669.2399024301903,-0.0
-2078.3773284928,-1744.93173015655,-0.0
-2071.65590554401,-1821.796742648485,-0.0
-2065.7632003176054,-1901.2308250745264,-0.0
-2065.7811793854758,-1989.4652846674032,-0.0
-2063.760242450061,-2078.44525106688,-0.0
-2049.429393242934,-2162.0083630994354,-0.0
-1987.9362110009001,-2198.1637071636374,-0.0
-1891.7474828167797,-2189.436847971728,-0.0
-1802.208223341453,-2187.468532852631,-0.0
-363.78715809783284,-518.9392701493138,-0.0
-349.05306754508945,-520.8559839700062,-0.0
-333.07359242214915,-524.713476128643,-0.0
-317.68133984434763,-525.1358193978964,-0.0
-300.5472946379761,-528.5218289586472,-0.0
-286.12025279913684,-529.3753521256521,-0.0
-270.62878863275176,-531.8558275164139,-0.0
-257.954736410944,-532.566818777851,-0.0
-244.29673787192885,-535.6730965478238,-0.0
-231.56567553879964,-543.4729987885869,-0.0
-219.86807731875155,-551.5406522425664,-0.0
-210.8448888404,-560.6651699988856,-0.0
-199.34064374374663,-573.3343769144047,-0.0
-584.432401147883,-2076.5756261182787,-0.0
-465.88771075285916,-2010.4757405821788,-0.0
-417.294037016367,-2014.4833702889143,-0.0
-367.9812050705626,-2003.7408503134372,-0.0
-318.00774709963247,-1990.254084981266,-0.0
-228.8355481768349,-2028.130984894863,-0.0
-47.86731148708511,-2193.7278279200905,-0.0
1.1982775551619291,-2196.9996732204813,-0.0
52.16124799857684,-2173.124079915188,-0.0
99.9055853574493,-2166.197388054557,-0.0
151.7548800826711,-2196.01275471503,-0.0
199.21644127216825,-2187.6981903422725,-0.0
247.0943148518981,-2168.7189679780713,-0.0
297.22657068351646,-2161.913834587243,-0.0
377.2984221342742,-2041.9349036281708,-0.0
504.47035175216826,-1961.6727337155512,-0.0
551.6010762084901,-1966.08754960852,-0.0
598.4117866412614,-1957.3167592673428,-0.0
487.8149330811401,-174.24290821448884,-0.0
491.7777715361345,-161.12378292155861,-0.0
555.8378709004904,427.9562025170446,0.0
554.3997444633886,447.94361904030893,0.0
553.2171602180996,467.81515969474685,0.0
552.5364897695447,486.9657867583203,0.0
549.2692349385629,508.8515206324983,0.0
548.4611420537916,529.3537929939207,0.0
546.7183916852907,552.1123075906287,0.0
544.4226282629903,575.8995153976238,0.0
542.297391220436,599.3176136035961,0.0
540.2095465742849,624.5291893018336,0.0
538.9073089079714,650.8486094366095,0.0
536.5970596086652,678.7644349252063,0.0
533.3159237633278,708.1358453435812,0.0
531.0071067859745,739.3148957262991,0.0
529.458414606776,773.0735975326536,0.0
527.127572506871,805.9190544359982,0.0
523.4472569571774,841.7716624382214,0.0
520.2420467487098,878.8058803255207,0.0
485.7289283037527,1220.389142121843,0.0
456.97635588158096,1231.4442172364895,0.0
424.7658336742335,1226.0017277895793,0.0
398.94964745817606,1245.1487576964437,0.0
379.3079678444194,1281.8057684492362,0.0
